entity_id,legal_name,short_name,country_code,sector,credit_rating,lei,incorporated_date,num_employees,annual_revenue_usd
ENT-000000,"Rodriguez, Figueroa and Sanchez SAS","Rodriguez, Figueroa",FR,Consumer Goods,B+,JI0Y006DPBHSAHXTHV10,1961-01-19,145694,13552781264
ENT-000001,Doyle Ltd NV,Doyle Ltd,NL,Materials,BBB+,NMMJ00BQE7CKW5NGCX47,1918-02-15,199305,31258758617
ENT-000002,"Mcclain, Miller and Henderson Holdings","Mcclain, Miller",SE,Energy,BBB,MYZY00CWTIQJ7YHL1C14,1911-11-17,110625,24558354799
ENT-000003,Davis and Sons Corp,Davis and,SG,Utilities,B+,O6QJ00IUJV6OH9SDBD90,2007-01-06,33316,27422466789
ENT-000004,"Guzman, Hoffman and Baldwin & Partners","Guzman, Hoffman",IE,Private Equity,AAA,,2022-01-24,377875,43441768939
ENT-000005,"Gardner, Robinson and Lawrence Holdings","Gardner, Robinson",AT,Utilities,AAA,1MKF00AZZ81SDW4SHN30,2007-06-21,169961,2098645541
ENT-000006,Blake and Sons Group,Blake and,FR,Hedge Fund,AA+,,1943-03-22,460339,4633326247
ENT-000007,"Henderson, Ramirez and Lewis AB","Henderson, Ramirez",ES,Insurance,BBB+,9TEX008FSV871YZOYN76,1940-04-26,33578,1452166459
ENT-000008,Garcia-James Corporation,Garcia-James Corporation,LU,Insurance,AA-,VAZC00CBLSKRT05UIR62,2018-03-30,226004,27291600255
ENT-000009,Abbott-Munoz AB,Abbott-Munoz AB,NO,Banking,AAA,0Y9D00OM5IGQPKI7P580,1916-09-26,485693,9605276768
ENT-000010,Blair PLC AB,Blair PLC,NO,Consumer Goods,BB+,HOCN009J2QP89UZFK884,1910-04-05,26299,32573894746
ENT-000011,Dudley Group BV,Dudley Group,BE,Banking,AA,,1933-05-06,35934,6850723617
ENT-000012,Arnold Ltd PLC,Arnold Ltd,HK,Healthcare,AA-,7UUB00CXULJYLJEXQ719,1913-02-23,281885,35275329163
ENT-000013,"Mcclure, Ward and Lee Group","Mcclure, Ward",AU,Asset Management,BBB,MCIK00PTK93TYT7D5J23,1950-07-23,317115,48149387725
ENT-000014,Williams and Sons BV,Williams and,NL,Telecommunications,AA+,WJR6004DPJA1WJ0TPA19,1966-04-01,305412,10963111810
ENT-000015,Galloway-Wyatt Capital,Galloway-Wyatt Capital,NO,Banking,A,L624006HID25OWF75932,1959-08-10,410205,29767727561
ENT-000016,James Group & Partners,James Group,HK,Energy,BB+,2D5400I3QK2IAGL58K92,1904-12-14,60482,9711945324
ENT-000017,"Flowers, Martin and Kelly GmbH","Flowers, Martin",LU,Banking,AA-,,2007-01-16,227846,48729455076
ENT-000018,"Adams, Zuniga and Wong NV","Adams, Zuniga",NL,Consumer Goods,BBB-,9E6G00BPS3Y70HP87W94,1990-12-29,162164,28634186985
ENT-000019,"Reid, Ferguson and Sanchez Holdings","Reid, Ferguson",NL,Utilities,A,KEP700Y6WKTAKPUXQP37,2018-03-21,44467,35578691696
ENT-000020,Gray-Mayo PLC,Gray-Mayo PLC,IE,Transportation,AA-,31YI00HAIR4COWGZRI93,1976-04-14,114745,32289482675
ENT-000021,"Watts, Robinson and Nguyen LLC","Watts, Robinson",US,Utilities,BBB+,7EEQ00TUL1P36P6QF567,2014-06-01,145401,32303836723
ENT-000022,Perez Inc PLC,Perez Inc,HK,Materials,BB-,CKJL00TEIYZCOTOHP684,1985-08-02,3101,25523981072
ENT-000023,Morales-Jones Group,Morales-Jones Group,CA,Banking,BB-,48P000TVHHPBMYOFQE89,2006-03-16,295913,2847662279
ENT-000024,"Walter, Edwards and Rios AG","Walter, Edwards",DE,Utilities,AA+,EQBN00HL1N13JCAT9M93,1905-07-27,497880,13947075585
ENT-000025,Wilkerson-Day Group,Wilkerson-Day Group,GB,Consumer Goods,A-,IRE800QJNV8Z2FLU7U58,1913-08-21,310439,15578987466
ENT-000026,Baker and Sons SAS,Baker and,FR,Energy,A,KY2200UBTXCXAPRPN668,1993-08-14,341037,39814800710
ENT-000027,"Hoffman, Baker and Richards & Co","Hoffman, Baker",AT,Private Equity,BBB,Q3VL00I7KQ1UYMRLRM43,1999-09-23,5332,5115648402
ENT-000028,"Ross, Robinson and Bright AB","Ross, Robinson",HK,Private Equity,BBB-,R1YX00R2DHYLURTP0L99,1945-02-09,120878,47762953316
ENT-000029,"Snyder, Campos and Callahan Ltd","Snyder, Campos",SG,Telecommunications,BBB-,08YG000JV1V93KMKZE15,1922-08-29,334437,6403375248
