entity_id,counterparty_id
ENT-096612,CP-061731
ENT-092508,CP-021565
ENT-044037,CP-000015
ENT-006206,CP-002881
ENT-093754,CP-039036
ENT-054570,CP-022720
ENT-062674,CP-049227
ENT-040990,CP-047341
ENT-047813,CP-039643
ENT-060104,CP-018950
ENT-046228,CP-010977
ENT-001967,CP-058308
ENT-035252,CP-061729
ENT-036294,CP-028752
ENT-098936,CP-028404
ENT-036052,CP-023558
ENT-035424,CP-068691
ENT-094355,CP-058369
ENT-058716,CP-040969
ENT-050342,CP-065426
ENT-003005,CP-034738
ENT-018922,CP-009650
ENT-008143,CP-046634
ENT-073152,CP-047145
ENT-056343,CP-032491
ENT-052894,CP-039048
ENT-067755,CP-062188
ENT-024854,CP-013152
ENT-019442,CP-059224
ENT-074357,CP-008463
ENT-079937,CP-037467
ENT-079733,CP-051944
ENT-088187,CP-010904
ENT-069887,CP-028867
ENT-032844,CP-038195
ENT-051745,CP-017609
ENT-029724,CP-005557
ENT-008966,CP-055415
ENT-012781,CP-009034
ENT-058502,CP-020780
ENT-083489,CP-052815
ENT-059940,CP-006624
ENT-098023,CP-036564
ENT-067348,CP-000286
ENT-080205,CP-066196
ENT-075779,CP-030639
ENT-064000,CP-025040
ENT-024560,CP-065616
ENT-073785,CP-008830
ENT-012439,CP-010938
ENT-042882,CP-046948
ENT-056603,CP-045721
ENT-088378,CP-005556
ENT-079153,CP-029255
ENT-033205,CP-057182
ENT-007000,CP-066496
ENT-088592,CP-027991
ENT-063230,CP-044786
ENT-001700,CP-027746
ENT-037095,CP-005025
ENT-095248,CP-056499
ENT-002074,CP-020506
ENT-043972,CP-045695
ENT-065419,CP-068150
ENT-052543,CP-046142
ENT-012874,CP-068812
ENT-025378,CP-011671
ENT-076064,CP-025790
ENT-087227,CP-067481
ENT-039927,CP-002071
ENT-095971,CP-040698
ENT-091456,CP-004079
ENT-065293,CP-034615
ENT-005443,CP-068801
ENT-037918,CP-006564
ENT-061973,CP-054183
ENT-014694,CP-067334
ENT-050826,CP-032879
ENT-001302,CP-038878
ENT-076428,CP-043001
ENT-062376,CP-050048
ENT-075276,CP-042167
ENT-044216,CP-033048
ENT-013144,CP-000835
ENT-097713,CP-069447
ENT-088090,CP-008126
ENT-010106,CP-056346
ENT-052060,CP-040254
ENT-061598,CP-000960
ENT-006667,CP-043725
ENT-021727,CP-059381
ENT-057914,CP-058018
ENT-044022,CP-042837
ENT-023923,CP-055277
ENT-054298,CP-066263
ENT-091179,CP-059343
ENT-061078,CP-052321
ENT-053020,CP-059980
ENT-037546,CP-024753
ENT-070591,CP-002113
ENT-033105,CP-020807
ENT-002236,CP-010284
ENT-093282,CP-055406
ENT-045016,CP-065415
ENT-061466,CP-053231
ENT-046407,CP-020189
ENT-059002,CP-066461
ENT-003215,CP-003945
ENT-049779,CP-049507
ENT-015203,CP-004275
ENT-075863,CP-049186
ENT-015400,CP-016142
ENT-033420,CP-063734
ENT-033093,CP-028809
ENT-024184,CP-003880
ENT-073872,CP-019543
ENT-058228,CP-038092
ENT-086943,CP-039167
ENT-065889,CP-058810
